,RMSP2P,Variance,Mean
RF 40,21.456725120544434,51.87672019004822,21.482084035873413
RF 60,32.71592450141907,91.8238525390625,26.8623685836792
RF 80,42.14685082435608,120.35769057273865,42.3741717338562
RF 100,61.14182949066162,155.53900003433228,62.71381998062134
RF 120,85.83997440338135,181.6055977344513,121.13072967529297
