,RMS,P2P,Mean,Variance
c1_g0.1,0.9984894259818731,0.9984894259818731,0.9984894259818731,0.8277945619335347
c1_g0.2,1.0,1.0,1.0,0.9667673716012085
c1_g0.4,1.0,1.0,1.0,0.9984894259818731
c1_g0.8,1.0,1.0,1.0,1.0
c1_g1.6,1.0,1.0,1.0,1.0
c1_g3.2,1.0,1.0,1.0,1.0
c1_g6.4,1.0,1.0,1.0,1.0
c1_g12.8,1.0,1.0,1.0,1.0
c10_g0.1,1.0,1.0,1.0,1.0
c10_g0.2,1.0,1.0,1.0,1.0
c10_g0.4,1.0,1.0,1.0,1.0
c10_g0.8,1.0,1.0,1.0,1.0
c10_g1.6,1.0,1.0,1.0,1.0
c10_g3.2,1.0,1.0,1.0,1.0
c10_g6.4,1.0,1.0,1.0,1.0
c10_g12.8,1.0,1.0,1.0,1.0
c100_g0.1,1.0,1.0,1.0,1.0
c100_g0.2,1.0,1.0,1.0,1.0
c100_g0.4,1.0,1.0,1.0,1.0
c100_g0.8,1.0,1.0,1.0,1.0
c100_g1.6,1.0,1.0,1.0,1.0
c100_g3.2,1.0,1.0,1.0,1.0
c100_g6.4,1.0,1.0,1.0,1.0
c100_g12.8,1.0,1.0,1.0,1.0
c1000_g0.1,1.0,1.0,1.0,1.0
c1000_g0.2,1.0,1.0,1.0,1.0
c1000_g0.4,1.0,1.0,1.0,1.0
c1000_g0.8,1.0,1.0,1.0,1.0
c1000_g1.6,1.0,1.0,1.0,1.0
c1000_g3.2,1.0,1.0,1.0,1.0
c1000_g6.4,1.0,1.0,1.0,1.0
c1000_g12.8,1.0,1.0,1.0,1.0
c10000_g0.1,1.0,1.0,1.0,1.0
c10000_g0.2,1.0,1.0,1.0,1.0
c10000_g0.4,1.0,1.0,1.0,1.0
c10000_g0.8,1.0,1.0,1.0,1.0
c10000_g1.6,1.0,1.0,1.0,1.0
c10000_g3.2,1.0,1.0,1.0,1.0
c10000_g6.4,1.0,1.0,1.0,1.0
c10000_g12.8,1.0,1.0,1.0,1.0
c100000_g0.1,1.0,1.0,1.0,1.0
c100000_g0.2,1.0,1.0,1.0,1.0
c100000_g0.4,1.0,1.0,1.0,1.0
c100000_g0.8,1.0,1.0,1.0,1.0
c100000_g1.6,1.0,1.0,1.0,1.0
c100000_g3.2,1.0,1.0,1.0,1.0
c100000_g6.4,1.0,1.0,1.0,1.0
c100000_g12.8,1.0,1.0,1.0,1.0
